,month,state,cases_new,cases_recovered,cases_active,cases_unvax,cases_pvax,cases_fvax,cases_boost
111,2020-10,W.P. Putrajaya,47,30,486,47,0,0,0
112,2020-11,Johor,473,223,3440,473,0,0,0
113,2020-11,Kedah,439,471,4783,439,0,0,0
114,2020-11,Kelantan,180,94,1357,180,0,0,0
115,2020-11,Melaka,76,83,777,76,0,0,0
116,2020-11,Negeri Sembilan,3308,2701,25879,3308,0,0,0
117,2020-11,Pahang,9,7,123,9,0,0,0
118,2020-11,Perak,1274,645,8512,1274,0,0,0
119,2020-11,Perlis,5,4,43,5,0,0,0
120,2020-11,Pulau Pinang,1094,1103,7461,1094,0,0,0
121,2020-11,Sabah,13723,17624,197095,13723,0,0,0
122,2020-11,Sarawak,183,271,3076,183,0,0,0
123,2020-11,Selangor,9235,7317,69178,9235,0,0,0
124,2020-11,Terengganu,43,78,887,43,0,0,0
125,2020-11,W.P. Kuala Lumpur,3162,1921,20582,3162,0,0,0
126,2020-11,W.P. Labuan,887,905,11730,887,0,0,0
127,2020-11,W.P. Putrajaya,58,64,609,58,0,0,0
128,2020-12,Johor,4355,1792,38032,4355,0,0,0
129,2020-12,Kedah,461,563,5007,461,0,0,0
130,2020-12,Kelantan,398,235,2885,398,0,0,0
131,2020-12,Melaka,838,297,6102,838,0,0,0
132,2020-12,Negeri Sembilan,2913,3298,28525,2913,0,0,0
133,2020-12,Pahang,962,454,7859,962,0,0,0
134,2020-12,Perak,1410,1811,13424,1410,0,0,0
135,2020-12,Perlis,3,3,35,3,0,0,0
136,2020-12,Pulau Pinang,1400,1275,9103,1400,0,0,0
137,2020-12,Sabah,8269,9064,77159,8269,0,0,0
138,2020-12,Sarawak,53,50,724,53,0,0,0
139,2020-12,Selangor,18461,11193,192670,18461,0,0,0
140,2020-12,Terengganu,88,59,568,88,0,0,0
141,2020-12,W.P. Kuala Lumpur,7280,3466,84934,7280,0,0,0
142,2020-12,W.P. Labuan,345,574,4326,345,0,0,0
143,2020-12,W.P. Putrajaya,77,48,560,77,0,0,0
144,2021-01,Johor,15824,10650,205448,15824,0,0,0
145,2021-01,Kedah,2762,1114,28674,2762,0,0,0
146,2021-01,Kelantan,2493,1697,22324,2493,0,0,0
147,2021-01,Melaka,2350,1673,23811,2350,0,0,0
148,2021-01,Negeri Sembilan,3822,3593,32190,3822,0,0,0
149,2021-01,Pahang,1619,455,30954,1618,1,0,0
150,2021-01,Perak,2912,1987,22157,2912,0,0,0
151,2021-01,Perlis,130,74,1026,130,0,0,0
152,2021-01,Pulau Pinang,4360,3187,35322,4360,0,0,0
153,2021-01,Sabah,11828,10567,107505,11828,0,0,0
154,2021-01,Sarawak,3333,1447,28467,3333,0,0,0
155,2021-01,Selangor,35541,28332,374446,35541,0,0,0
156,2021-01,Terengganu,1817,965,12195,1817,0,0,0
157,2021-01,W.P. Kuala Lumpur,12112,10499,139520,12112,0,0,0
158,2021-01,W.P. Labuan,446,414,2939,446,0,0,0
159,2021-01,W.P. Putrajaya,600,454,5522,600,0,0,0
160,2021-02,Johor,14399,17905,243799,14399,0,0,0
161,2021-02,Kedah,1825,3141,28478,1825,0,0,0
162,2021-02,Kelantan,1631,1959,20482,1631,0,0,0
163,2021-02,Melaka,2400,3338,29899,2400,0,0,0
164,2021-02,Negeri Sembilan,4159,2982,35620,4159,0,0,0
